ParentLocation,Location,other_1,other_2,SDG1.a,SDG16.1,SDG3.1_1,SDG3.2_1,SDG3.2_2,SDG3.2_3,SDG3.3_1,SDG3.3_2,SDG3.3_3,SDG3.3_4,SDG3.3_5,SDG3.4_1,SDG3.4_2,SDG3.4_3,SDG3.4_4,SDG3.4_5,SDG3.4_6,SDG3.5,SDG3.6,SDG3.8_1,SDG3.8_2,SDG3.9_1,SDG3.9_3,SDG3.b_1,SDG3.b_2,SDG3.b_3,SDG3.b_4,SDG3.c_1,SDG3.c_2,SDG3.c_3,SDG3.c_4,SDG3.d_1,SDG3.7,SDG3.a,SDG3.1_2,SDG3.b_5
Eastern Mediterranean,Lebanon,75.98,20.13,14.33,4.11,29,8.806392542034294,14.749458964541368,12.785084068586649,0.03,11,-28.21591700507899,0.21,1,95.62,20.492758448476778,270.31796237722654,19.31080406192775,2.71,307.23,1.5,16.23,41.43,73,0.51,0.79,5.84,63,83,86.54105370985693,20.12,15.72,9.82,11.79,81.98565375017488,29.78253037325657,42.6,94.34958798085408,58.427094724797755
Africa,Lesotho,47.67,12.7,0.04636786913565771,45.38,559,113.06715063520872,233.03085299455537,185.2994555353902,8.13,721,70.74272074509379,1.64,530557,483.5,108.52994555353904,319.1470054446461,92.42286751361162,87,169.75,5.1,30.78,34.29,48,5.74,44.36,6.61,82,87,87,-4.710232729499225,-26.278387107153286,-1.7611209969592987,-2.9231360509282833,74,91,28.7,75.00976954005145,2.4025710779405003
Africa,Liberia,61.17,17.06,3.9,10.22,661,111.35674035543997,293.801473775466,215.8864325964456,0.64,308,368,7.75,2919973,230.3,16.402254009536193,83.78846987429561,10.723883831816211,4.48,107.48,4.9,36.13,35.71,39,1.93,41.54,14.27,49.83935969169866,73,73,-9.48670687353535,-15.3990828411727,-1.658700605404618,-1.2463988433537452,52.439218231140394,121.08750062558548,8.8,56.4180221643272,75.18865319562826
Eastern Mediterranean,Libya,74.6,21.34,11.774794704472846,2.39,73,14.937231844907037,26.791673287780075,22.866677260448117,0.1,40,21.946024519426565,0.27,2807,150.3,17.51152073732719,153.01128237724456,13.767678372795169,4.95,183.33,0,25.19,38.57,64,0.87,0.58,0.07,96,97,96,23.173217575776647,50.07488975635714,4.357363570604105,5.728328014069519,64,42.958779009178045,19.199607862083987,88.25865170985321,65.91218018720663
Europe,Lithuania,74.38,20.32,12.77,5.42,8,2.3727647867950483,4.986244841815681,4.023383768913343,0.09,54,-109.31225159735726,0.19,30,154.5,10.78060522696011,817.8473177441541,24.35694635488308,32.77,373.71,15.4,8.1,41.43,73,3.83,0.081,2.9900917126296838,92,94,82,44.34,79.67,9.65,11.34,82,13.3,28,100,37.53225329507897
Europe,Luxembourg,82.31,24.44,10.77,0.69,5,1.7361111111111112,3.125,2.604166666666667,-0.24706429165131427,5.8,-100.34713286710505,0.24,1,55.5,13.486111111111112,206.07638888888889,48.57638888888889,10.16,34.56,12.7,6.21,48.57,83,0.23,0.049,1.2473478626641503,86,99,95,29.05,121.6,9.49,7.01,88,4.7,22.5,103.6182313542509,14
Africa,Madagascar,64.19,16.5,17.51,6.99,348,71.00622614982929,180.76722233380198,129.3593090982125,0.19,233,42.33,4.36,18863123,215.5,14.356296445069292,149.88150230970075,26.700140590480018,5.51,749.22,1.9,28.55,34.29,28,2.78,30.23,4.08,62.970996160837124,68,65,3.856819392333037,0.64,0.6881406022887298,0.002,63.17270090062944,87.66101647570595,30,71.00267521121823,63.32102785659793
Africa,Malawi,63.04,16.87,9.78,2.65,358,73.3196993146142,164.99005085120496,116.85827990271943,2.77,176,211.5,3.03,11435030,254.7,15.404598717665266,78.54852973690028,12.419854079151005,6.07,428.81,4,32.55,42.86,46,2.07,28.29,12.64,61,84,83,0.31,2.99,0.5272808976308014,1.1575268362084068,62.275839227192975,90.51649145619996,13.8,69.58891315396865,65.71309151038551
Western Pacific,Malaysia,74.95,19.89,8.33,2.81,29,7.201718664828294,13.48638855933562,11.584955269823965,0.17,94,0.22,0.17,120318,122.9,19.363837496392726,173.25488184179306,21.217173822426012,5.06,1152.41,0.8,24.03,42.86,73,0.61,0.42,0.05,99,95,87.08228248888342,26.841775900314946,41.96,5.00667860438192,6.439165976886673,100,10.2,22.5,99.5,83
South-East Asia,Maldives,78.41,21.34,20.43,1.99,54,9.813084112149532,16.35514018691589,14.018691588785046,-0.6718685155354787,44,-20.803925901014775,0.19,1937,52.53,18.9696261682243,110.72429906542057,27.710280373831775,3.11,11.26,2.4,0.86,28.57,62,0.055,0.31,1.29,99,99,88.48367513946597,29.06328033244064,30.52,5.445303313617259,6.994343943346287,60,9.8,20.701837633817302,93.95880901952025,64.45526478516598
